Postcode,Total results
EH10,9052
EH11,12419
EH12,12124
EH13,3287
EH14,9301
EH15,6180
EH16,8040
EH17,5312
EH18,583
EH19,3925
EH2,632
EH20,1567
EH21,7258
EH22,7556
EH23,2271
EH24,546
EH25,1167
EH26,3773
EH27,644
EH28,787
EH29,1366
EH3,9095
EH30,2755
EH31,945
EH32,4537
EH33,3117
EH34,555
EH35,544
EH36,72
EH37,297
EH38,73
EH39,3109
EH4,15283
EH40,565
EH41,3459
EH42,3363
EH43,234
EH44,913
EH45,3051
EH46,810
EH47,5765
EH48,9314
EH49,3807
EH5,6637
EH51,3623
EH52,5200
EH53,3198
EH54,12033
EH55,1808
EH6,16080
EH7,12829
EH8,6430
EH9,5866
